5621: 0x81bf247
5631: 0x81bf3f7
5633: 0x81bf4d0
5638: 0x81bf5cc
5639: 0x81bf5ef
5640: 0x81bf738
5645: 0x81bf7ab
5646: 0x81bf8ed
5648: 0x81bf925
5652: 0x81bfa34
5655: 0x81bfaa8
5659: 0x81bfb22
5662: 0x81bfbf5
5666: 0x81bfc56
5668: 0x81bfcc2
5669: 0x81bfd08
5671: 0x81bfd2c
5672: 0x81bfd42
5673: 0x81bfda3
5674: 0x81bfdb1
5675: 0x81bfe9b
5678: 0x81bff1e
5683: 0x81c00e2
5684: 0x81c0122
5686: 0x81c0172
5687: 0x81c01a8
5689: 0x81c028c
5690: 0x81c0572
5692: 0x81c05bb
5694: 0x81c063e
5695: 0x81c0677
5701: 0x81c079b
5702: 0x81c07da
5703: 0x81c07ac
5705: 0x81c080f
5706: 0x81c0918
5709: 0x81c09c8
5712: 0x81c0b56
5716: 0x81c0b67
5717: 0x81c0b45
5718: 0x81c0b0d
5720: 0x81c0968
5722: 0x81c0c52
5723: 0x81c0ce6
5726: 0x81c0cfb
5727: 0x81c0d53
5728: 0x81c0dc3
5732: 0x81c0ea2
5733: 0x81c0ec7
5736: 0x81c0f06
5737: 0x81c0fa2
5739: 0x81c10e7
5740: 0x81c134f
5742: 0x81c123a
5744: 0x81c115c
5745: 0x81c1341
5746: 0x81c1176
5747: 0x81c13e3
5748: 0x81c14c5
5750: 0x81c15dc
5753: 0x81c150c
5754: 0x81c16f4
5755: 0x81c1529
5760: 0x81c174c
5761: 0x81c1934
5769: 0x81c1e83
5770: 0x81c1ec4
5771: 0x81c1f4e
5774: 0x81c1fb1
5777: 0x81c2005
5779: 0x81c2170
5789: 0x81c2435
5791: 0x81c26ef
5792: 0x81c2626
5794: 0x81c2569
5795: 0x81c25fc
5797: 0x81c2718
5798: 0x81c274d
5802: 0x81c29c8
5803: 0x81c29f7
5806: 0x81c2d62
5807: 0x81c2d98
5809: 0x81c2eb3
5813: 0x81c3428
5814: 0x81c3508
5816: 0x81c3617
5819: 0x81c3637
5821: 0x81c3c14
5822: 0x81c3ce8
5823: 0x81c3d91
5824: 0x81c3d65
5827: 0x81c3eb4
5828: 0x81c3f86
5836: 0x81c4338
5839: 0x81c43d2
5840: 0x81c4456
5841: 0x81c446b
5842: 0x81c4500
5843: 0x81c44b0
5844: 0x81c48e7
5848: 0x81c4d5e
5849: 0x81c4da8
5850: 0x81c4d7e
5851: 0x81c50d1
5856: 0x81c4e6a
5857: 0x81c4f84
5858: 0x81c5046
5860: 0x81c4fcd
5862: 0x81c5588
5863: 0x81c55b8
5864: 0x81c55e8
5865: 0x81c5666
5866: 0x81c5677
5867: 0x81c56e8
5869: 0x81c5744
5871: 0x81c575c
587: 0x814d79e
5885: 0x81c5b8b
5887: 0x81c5bbe
5888: 0x81c5d38
5889: 0x81c5de7
5890: 0x81c5d6f
5891: 0x81c6038
5892: 0x81c606d
5894: 0x81c60ac
5895: 0x81c6148
5896: 0x81c617f
5899: 0x81c64d6
5900: 0x81c6577
5902: 0x81c6699
5904: 0x81c6722
5905: 0x81c66eb
5907: 0x81c67ba
5910: 0x81c684e
5914: 0x81c6a02
5917: 0x81c68c8
5918: 0x81c6714
5919: 0x81c6734
5920: 0x81c6d4a
5921: 0x81c6d93
5922: 0x81c6d78
5923: 0x81c6db5
5924: 0x81c6dfa
5926: 0x81c6f64
5927: 0x81c6f8c
5928: 0x81c7076
5929: 0x81c7058
5930: 0x81c702d
5931: 0x81c7228
5932: 0x81c72fc
5934: 0x81c73ec
5935: 0x81c7417
5938: 0x81c733f
5940: 0x81c739c
5941: 0x81c74c5
5943: 0x81c7523
5958: 0x81c77d1
5959: 0x81c780e
5960: 0x81c726c
5962: 0x81c7ac7
5968: 0x81c7dae
5969: 0x81c7de8
5972: 0x81c7e15
5973: 0x81c7f18
5974: 0x81c7f59
5977: 0x81c7f86
5978: 0x81c8088
5979: 0x81c80c2
5980: 0x81c80d0
